,name,id,content,retweets
91,CASTEX JOCELYNE,@castex_emile,"Personne parle ce que coûte aux français le fils de hollande et hidalgo le nouveau mazarin , ça rappelle un certain mitterrand et mazarrine",0
92,ben,‏@ben2en1,#VallsPremierMinistre le fils caché d'Anne hidalgo et de François Hollande,0
93,Happy,@ArlKurios,RT #Hollande A UN FILS CACHE AVEC #Hidalgo ET VOUS ET MOI PAYONS TOUS LES JOURS #Quetard #Dehors  http://youtu.be/jGoPP55INTY  via @YouTube,1
94,Happy,@ArlKurios,#Kemlin: #Hidalgo et #Hollande LE FILS CACHE LA VERITE /  candidate mère..: http://youtu.be/jGoPP55INTY  #DehorsLesSocialistes,0
95,Paparazziroses,‏@Excalibur57X,#valtrier #HidalgOUT #PSG #Rumeur CocuEs & co #sexe #LGBT #FEMEN http://www.atlantico.fr/decryptage/francois-hollande-rumeurs-internet-fils-cache-anne-hidalgo-compagne-non-divorcee-philippe-aldrin-jean-vigreux-443772.html … …,0
96,Christopher Morgan,‏@kristomorgan,"ouf, ... Je préfère Hijo de algo plutôt que Hijo de Hidalgo puisque vous auriez été le fils de #Hollande !",0
97,LES REPUBLICAINS,‏@augusteblanc,"Fils caché, compagne non divorcée : François Hollande victime des rumeurs | Atlantico http://po.st/OIHmXs  via @po_st",4
98,boulangerannick,@boulangerannick,"Hollande, Hidalgo, enfant caché et censure de Twitter | http://24heuresactu.com  http://24heuresactu.com/2012/08/21/hollande-hidalgo-fils-cache-et-censure-de-twitter/ …",0
99,FEVE raoul,‏@FEVE62,"@Wks_69 oui puisqu'elle aura 1 pension et un logement avec Hollande pour ses 3 fils , pas de HOLLANDE ? enfants  déjà avec ROYAL et HIDALGO !",0
100,LES REPUBLICAINS,‏@augusteblanc,"Fils caché, compagne non divorcée : François Hollande victime des rumeurs | Atlantico http://po.st/Vr58MF  via @po_st",0
101,moumoute82,‏@LebaronSzwarc,Et son gosse a hidalgo le fils a hollande il est ou?a la crèche,0
102,Manin ARCOS,‏@CyberManin,Avec Sarkozy la Liberté d'Expression Régnait et la gôche diffamait sans arrêt la Présidence :  http://tinyurl.com/93nu6x2  #Hidalgo #NS2017,0
103,LES REPUBLICAINS,‏@augusteblanc,"Fils caché, compagne non divorcée : François Hollande victime des rumeurs | Atlantico http://po.st/2czcHd  via @po_st",3
104,Vivement mai 2017,@bhe7,"Hollande, Hidalgo, enfant caché et censure de Twitter | http://24heuresactu.com  http://24heuresactu.com/2012/08/21/hollande-hidalgo-fils-cache-et-censure-de-twitter/ … La gauche est un grand baisodrome!!!",1
105,Duraton,@lamio53,le message des socialistes en place est clair : quiconque se permet de les critiquer aura à faire à la justice http://24heuresactu.com/2012/08/21/hollande-hidalgo-fils-cache-et-censure-de-twitter/ …,8
106,Socra François,@paquito_31,@CyberManin Sous Sarkozy la Parole était Libre et la gôche était avide d'insultes à l'égard de la Présidence: http://tinyurl.com/93nu6x2,6
107,Manin ARCOS,@CyberManin,France : Freedom of Expression nowadays? It is as if one Socialist has a bit of courage !  http://tinyurl.com/93nu6x2  ..  #Prism #Snowden,0
