num_rumor;date;name;id;content;retweets;
157;2014-04-05;Jean Fantetasoeur;‏@MisterKrissou;François Hollande a eu un fils avec Ane Hidalgo, actuelle maire de Paris;0;
157;2014-04-05;offshore@OI;@offshoreOI;@lepenactu saviez-vous que #hollande avait un fils avec #hidalgo?;0;
157;2014-04-02;nation59;‏@nation59;coût pour les contribuables du fils que François Hollande a eu avec Anne Hidalgo.. http://ln.is/www.youtube.com/zVQYK …;0;
157;2014-04-02;CASTEX JOCELYNE;@castex_emile;Personne parle ce que coûte aux français le fils de hollande et hidalgo le nouveau mazarin , ça rappelle un certain mitterrand et mazarrine;0;
157;2014-04-01;ben;‏@ben2en1;#VallsPremierMinistre le fils caché d'Anne hidalgo et de François Hollande;0;
157;2014-04-01;Happy;@ArlKurios;RT #Hollande A UN FILS CACHE AVEC #Hidalgo ET VOUS ET MOI PAYONS TOUS LES JOURS #Quetard #Dehors  http://youtu.be/jGoPP55INTY  via @YouTube;1;
157;2014-04-01;Happy;@ArlKurios;#Kemlin: #Hidalgo et #Hollande LE FILS CACHE LA VERITE /  candidate mère..: http://youtu.be/jGoPP55INTY  #DehorsLesSocialistes;0;
157;2014-03-25;Paparazziroses;‏@Excalibur57X;#valtrier #HidalgOUT #PSG #Rumeur CocuEs & co #sexe #LGBT #FEMEN http://www.atlantico.fr/decryptage/francois-hollande-rumeurs-internet-fils-cache-anne-hidalgo-compagne-non-divorcee-philippe-aldrin-jean-vigreux-443772.html … …;0;
157;2014-02-21;Christopher Morgan;‏@kristomorgan;ouf, ... Je préfère Hijo de algo plutôt que Hijo de Hidalgo puisque vous auriez été le fils de #Hollande !;0;
157;2014-02-12;LES REPUBLICAINS;‏@augusteblanc;Fils caché, compagne non divorcée : François Hollande victime des rumeurs | Atlantico http://po.st/OIHmXs  via @po_st;4;
157;2014-02-11;boulangerannick;@boulangerannick;Hollande, Hidalgo, enfant caché et censure de Twitter | http://24heuresactu.com  http://24heuresactu.com/2012/08/21/hollande-hidalgo-fils-cache-et-censure-de-twitter/ …;0;
157;2014-02-07;FEVE raoul;‏@FEVE62;@Wks_69 oui puisqu'elle aura 1 pension et un logement avec Hollande pour ses 3 fils , pas de HOLLANDE ? enfants  déjà avec ROYAL et HIDALGO !;0;
157;2014-02-02;LES REPUBLICAINS;‏@augusteblanc;Fils caché, compagne non divorcée : François Hollande victime des rumeurs | Atlantico http://po.st/Vr58MF  via @po_st;0;
157;2014-01-29;moumoute82;‏@LebaronSzwarc;Et son gosse a hidalgo le fils a hollande il est ou?a la crèche;0;
157;2014-01-28;Manin ARCOS;‏@CyberManin;Avec Sarkozy la Liberté d'Expression Régnait et la gôche diffamait sans arrêt la Présidence :  http://tinyurl.com/93nu6x2  #Hidalgo #NS2017;0;
157;2014-01-27;LES REPUBLICAINS;‏@augusteblanc;Fils caché, compagne non divorcée : François Hollande victime des rumeurs | Atlantico http://po.st/2czcHd  via @po_st;3;
157;2014-01-23;Vivement mai 2017;@bhe7;Hollande, Hidalgo, enfant caché et censure de Twitter | http://24heuresactu.com  http://24heuresactu.com/2012/08/21/hollande-hidalgo-fils-cache-et-censure-de-twitter/ … La gauche est un grand baisodrome!!!;1;
157;2014-01-21;Duraton;@lamio53;le message des socialistes en place est clair : quiconque se permet de les critiquer aura à faire à la justice http://24heuresactu.com/2012/08/21/hollande-hidalgo-fils-cache-et-censure-de-twitter/ …;8;
157;2014-01-19;Socra François;@paquito_31;@CyberManin Sous Sarkozy la Parole était Libre et la gôche était avide d'insultes à l'égard de la Présidence: http://tinyurl.com/93nu6x2;6;
157;2014-01-19;Manin ARCOS;@CyberManin;France : Freedom of Expression nowadays? It is as if one Socialist has a bit of courage !  http://tinyurl.com/93nu6x2  ..  #Prism #Snowden;0;
157;2014-01-19;Manin ARCOS;@CyberManin;Sous Sarkozy la Parole était Libre, et la gôche était avide d'insultes à l'égard de la Présidence :   http://tinyurl.com/93nu6x2  .. #NS2017;4;
